repo,html_url,stars,language
withastro/astro,https://github.com/withastro/astro,56612,TypeScript
remix-run/react-router,https://github.com/remix-run/react-router,56213,TypeScript
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,56102,Python
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,55972,JavaScript
pocketbase/pocketbase,https://github.com/pocketbase/pocketbase,55945,Go
pathwaycom/llm-app,https://github.com/pathwaycom/llm-app,55943,Jupyter Notebook
azl397985856/leetcode,https://github.com/azl397985856/leetcode,55800,JavaScript
meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,55788,Rust
pi-hole/pi-hole,https://github.com/pi-hole/pi-hole,55583,Shell
rust-unofficial/awesome-rust,https://github.com/rust-unofficial/awesome-rust,55491,Rust
rclone/rclone,https://github.com/rclone/rclone,55402,Go
Textualize/rich,https://github.com/Textualize/rich,55395,Python
wasabeef/awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,55339,
golang-standards/project-layout,https://github.com/golang-standards/project-layout,55310,Makefile
AntonOsika/gpt-engineer,https://github.com/AntonOsika/gpt-engineer,55207,Python
tiimgreen/github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,55026,
deepfakes/faceswap,https://github.com/deepfakes/faceswap,54948,Python
Z4nzu/hackingtool,https://github.com/Z4nzu/hackingtool,54912,Python
RVC-Boss/GPT-SoVITS,https://github.com/RVC-Boss/GPT-SoVITS,54810,Python
appwrite/appwrite,https://github.com/appwrite/appwrite,54708,TypeScript
dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,54637,Rust
lencx/ChatGPT,https://github.com/lencx/ChatGPT,54393,Rust
microsoft/autogen,https://github.com/microsoft/autogen,54366,Python
FoundationAgents/OpenManus,https://github.com/FoundationAgents/OpenManus,54321,Python
Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm,54310,JavaScript
ElemeFE/element,https://github.com/ElemeFE/element,54219,Vue
daytonaio/daytona,https://github.com/daytonaio/daytona,54196,TypeScript
opendatalab/MinerU,https://github.com/opendatalab/MinerU,54009,Python
maybe-finance/maybe,https://github.com/maybe-finance/maybe,53997,Ruby
starship/starship,https://github.com/starship/starship,53979,Rust
necolas/normalize.css,https://github.com/necolas/normalize.css,53801,CSS
psf/requests,https://github.com/psf/requests,53718,Python
marktext/marktext,https://github.com/marktext/marktext,53715,JavaScript
go-gitea/gitea,https://github.com/go-gitea/gitea,53604,Go
facebookresearch/segment-anything,https://github.com/facebookresearch/segment-anything,53381,Jupyter Notebook
laurent22/joplin,https://github.com/laurent22/joplin,53357,TypeScript
wagoodman/dive,https://github.com/wagoodman/dive,53288,Go
ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,53048,Python
vuejs/core,https://github.com/vuejs/core,52922,TypeScript
ngosang/trackerslist,https://github.com/ngosang/trackerslist,52850,
google/material-design-icons,https://github.com/google/material-design-icons,52846,
mozilla/pdf.js,https://github.com/mozilla/pdf.js,52800,JavaScript
romkatv/powerlevel10k,https://github.com/romkatv/powerlevel10k,52746,Shell
karpathy/nanoGPT,https://github.com/karpathy/nanoGPT,52719,Python
WerWolv/ImHex,https://github.com/WerWolv/ImHex,52551,C++
firstcontributions/first-contributions,https://github.com/firstcontributions/first-contributions,52531,
docling-project/docling,https://github.com/docling-project/docling,52386,Python
ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,52339,TypeScript
JetBrains/kotlin,https://github.com/JetBrains/kotlin,52268,Kotlin
sickcodes/Docker-OSX,https://github.com/sickcodes/Docker-OSX,52122,Shell
TryGhost/Ghost,https://github.com/TryGhost/Ghost,51770,JavaScript
unslothai/unsloth,https://github.com/unslothai/unsloth,51723,Python
prettier/prettier,https://github.com/prettier/prettier,51525,JavaScript
etcd-io/etcd,https://github.com/etcd-io/etcd,51474,Go
xai-org/grok-1,https://github.com/xai-org/grok-1,51470,Python
google/guava,https://github.com/google/guava,51461,Java
jekyll/jekyll,https://github.com/jekyll/jekyll,51414,Ruby
PowerShell/PowerShell,https://github.com/PowerShell/PowerShell,51388,C#
vsouza/awesome-ios,https://github.com/vsouza/awesome-ios,51211,Swift
Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,51157,JavaScript
typst/typst,https://github.com/typst/typst,51124,Rust
Zie619/n8n-workflows,https://github.com/Zie619/n8n-workflows,51042,Python
chinese-poetry/chinese-poetry,https://github.com/chinese-poetry/chinese-poetry,50936,JavaScript
DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,50917,TypeScript
ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,50790,Go
agalwood/Motrix,https://github.com/agalwood/Motrix,50719,JavaScript
2dust/v2rayNG,https://github.com/2dust/v2rayNG,50698,Kotlin
cloudcommunity/Free-Certifications,https://github.com/cloudcommunity/Free-Certifications,50559,
justjavac/awesome-wechat-weapp,https://github.com/justjavac/awesome-wechat-weapp,50470,
poteto/hiring-without-whiteboards,https://github.com/poteto/hiring-without-whiteboards,50415,JavaScript
coollabsio/coolify,https://github.com/coollabsio/coolify,50364,PHP
charlax/professional-programming,https://github.com/charlax/professional-programming,50343,Python
termux/termux-app,https://github.com/termux/termux-app,50302,Java
microsoft/ai-agents-for-beginners,https://github.com/microsoft/ai-agents-for-beginners,50194,Jupyter Notebook
jgthms/bulma,https://github.com/jgthms/bulma,50067,CSS
dockur/windows,https://github.com/dockur/windows,49871,Shell
mastodon/mastodon,https://github.com/mastodon/mastodon,49617,Ruby
Avik-Jain/100-Days-Of-ML-Code,https://github.com/Avik-Jain/100-Days-Of-ML-Code,49587,
cypress-io/cypress,https://github.com/cypress-io/cypress,49563,TypeScript
jesseduffield/lazydocker,https://github.com/jesseduffield/lazydocker,49557,Go
NARKOZ/hacker-scripts,https://github.com/NARKOZ/hacker-scripts,49412,JavaScript
harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,49409,Python
AlistGo/alist,https://github.com/AlistGo/alist,48966,Go
FlowiseAI/Flowise,https://github.com/FlowiseAI/Flowise,48964,TypeScript
